"Statistic Label","Year","County","Species","Forest Owner","UNIT","VALUE"
"Afforestation Area","2023","Co. Monaghan","Conifer","Total Afforestation","Hectares","3"
"Afforestation Area","2023","Co. Monaghan","Conifer","Farmer","Hectares","2"
"Afforestation Area","2023","Co. Monaghan","Conifer","Non-Farmer","Hectares","2"
"Afforestation Area","2023","Co. Monaghan","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Offaly","Total Afforestation","Total Afforestation","Hectares","31"
"Afforestation Area","2023","Co. Offaly","Total Afforestation","Farmer","Hectares","1"
"Afforestation Area","2023","Co. Offaly","Total Afforestation","Non-Farmer","Hectares","31"
"Afforestation Area","2023","Co. Offaly","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Offaly","Broadleaf","Total Afforestation","Hectares","23"
"Afforestation Area","2023","Co. Offaly","Broadleaf","Farmer","Hectares","1"
"Afforestation Area","2023","Co. Offaly","Broadleaf","Non-Farmer","Hectares","22"
"Afforestation Area","2023","Co. Offaly","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Offaly","Conifer","Total Afforestation","Hectares","9"
"Afforestation Area","2023","Co. Offaly","Conifer","Farmer","Hectares",""
"Afforestation Area","2023","Co. Offaly","Conifer","Non-Farmer","Hectares","9"
"Afforestation Area","2023","Co. Offaly","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Roscommon","Total Afforestation","Total Afforestation","Hectares","189"
"Afforestation Area","2023","Co. Roscommon","Total Afforestation","Farmer","Hectares","58"
"Afforestation Area","2023","Co. Roscommon","Total Afforestation","Non-Farmer","Hectares","130"
"Afforestation Area","2023","Co. Roscommon","Total Afforestation","Public Sector","Hectares","1"
"Afforestation Area","2023","Co. Roscommon","Broadleaf","Total Afforestation","Hectares","71"
"Afforestation Area","2023","Co. Roscommon","Broadleaf","Farmer","Hectares","26"
"Afforestation Area","2023","Co. Roscommon","Broadleaf","Non-Farmer","Hectares","44"
"Afforestation Area","2023","Co. Roscommon","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Roscommon","Conifer","Total Afforestation","Hectares","119"
"Afforestation Area","2023","Co. Roscommon","Conifer","Farmer","Hectares","32"
"Afforestation Area","2023","Co. Roscommon","Conifer","Non-Farmer","Hectares","86"
"Afforestation Area","2023","Co. Roscommon","Conifer","Public Sector","Hectares","1"
"Afforestation Area","2023","Co. Sligo","Total Afforestation","Total Afforestation","Hectares","49"
"Afforestation Area","2023","Co. Sligo","Total Afforestation","Farmer","Hectares","25"
"Afforestation Area","2023","Co. Sligo","Total Afforestation","Non-Farmer","Hectares","24"
"Afforestation Area","2023","Co. Sligo","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Sligo","Broadleaf","Total Afforestation","Hectares","30"
"Afforestation Area","2023","Co. Sligo","Broadleaf","Farmer","Hectares","10"
"Afforestation Area","2023","Co. Sligo","Broadleaf","Non-Farmer","Hectares","20"
"Afforestation Area","2023","Co. Sligo","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Sligo","Conifer","Total Afforestation","Hectares","20"
